mol_id,raw_smiles,orig_name,source,inchikey,parse_ok,d,d_rdkit,n_heavy,n_atoms,mw,charge,n_hbd,n_hba,frac_aromatic,n_rings,max_ring_size,n_frags,n_sym_classes,elements,dedup_key,n_sources,d_bin,d_bin_label
m013_d01,C(=O)(c1ccc2OCCc2c1)[O-],3A9_4CTJ_A,platinum-diverse,YXYOLVAXVPOIMA-UHFFFAOYSA-M,1,1.0,1.0,12.0,19.0,163.15,-1.0,0.0,3.0,0.5,2.0,6.0,1.0,12.0,C/O,YXYOLVAXVPOIMA-UHFFFAOYSA-M,1.0,1.0,1
m014_d01,N1C[C@@H]2c3cc(ccc3Oc3cccc(C1=O)c23)S(=O)(=O)[O-],G9P_3KI4_A,platinum-diverse,XIIAPOBAFRAUGJ-LLVKDONJSA-M,1,1.0,1.0,22.0,32.0,316.31,-1.0,1.0,5.0,0.545,4.0,6.0,1.0,21.0,C/N/O/S,XIIAPOBAFRAUGJ-LLVKDONJSA-M,1.0,1.0,1
m015_d01,C1[NH2+]CC(=O)C2=C1Nc1c([C@@H]2c2c(cccc2)F)c[nH]n1,JVE_4UZH_A,platinum-diverse,ITULOGMVDYUWCK-ZDUSSCGKSA-O,1,1.0,1.0,21.0,35.0,285.3,1.0,3.0,3.0,0.524,4.0,6.0,1.0,21.0,C/F/N/O,ITULOGMVDYUWCK-ZDUSSCGKSA-O,1.0,1.0,1
m016_d01,c1c(cccc1)C2CCCNCC2,4-Phenylazepane,wiki,AHKQOPMYYACTFC-UHFFFAOYSA-N,1,1.0,1.0,13.0,30.0,175.27,0.0,1.0,1.0,0.462,2.0,7.0,1.0,11.0,C/N,AHKQOPMYYACTFC-UHFFFAOYSA-N,1.0,1.0,1
m017_d01,ClOCl(=O)=O,Dichlorine,wiki,SAUMVKNLVQDHMJ-UHFFFAOYSA-N,1,1.0,1.0,5.0,5.0,118.9,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,Cl/O,SAUMVKNLVQDHMJ-UHFFFAOYSA-N,1.0,1.0,1
m018_d01,O=C1/C=C\N=C(\N)N1,Isocytosine,wiki,XQCZBXHVTFVIFE-UHFFFAOYSA-N,1,1.0,0.0,8.0,13.0,111.1,0.0,2.0,3.0,0.75,1.0,6.0,1.0,8.0,C/N/O,XQCZBXHVTFVIFE-UHFFFAOYSA-N,1.0,1.0,1
m019_d01,[n+]1(ccccc1)C,Methylpyridinium,wiki,PQBAWAQIRZIWIV-UHFFFAOYSA-N,1,1.0,0.0,7.0,15.0,94.14,1.0,0.0,0.0,0.857,1.0,6.0,1.0,5.0,C/N,PQBAWAQIRZIWIV-UHFFFAOYSA-N,1.0,1.0,1
m020_d01,c1ccc2c(c1)[C@@]1([C@H]3[C@@H]([C@H]4[N@@]1CCC4)C(=O)N(C3=O)c1ccccc1Br)C(=O)N2,ZINC49626715,zinc,GUBFOAKAHJYQIA-RQXXJAGISA-N,1,1.0,1.0,29.0,47.0,452.31,0.0,1.0,4.0,0.414,6.0,6.0,1.0,29.0,Br/C/N/O,GUBFOAKAHJYQIA-RQXXJAGISA-N,1.0,1.0,1
m021_d01,CC1=C2C[C@]34CC[C@@H]5[C@]2([C@]3(CCCC5)CC#CC[C@@]23CCC[C@@]52C[N@@H+]5[C@@H]4C=C3)CC1,ZINC85548182,zinc,OJASILCZCPAUQJ-LQVIDIMPSA-O,1,1.0,0.0,30.0,68.0,400.63,1.0,1.0,0.0,0.0,9.0,10.0,1.0,30.0,C/N,OJASILCZCPAUQJ-LQVIDIMPSA-O,1.0,1.0,1
m022_d01,c1ccc2c(c1)c1c3c(cc4c1OCO4)C=C[N-]c3c2c1c2ccccc2c2c3c1[N-]C=Cc3cc1c2OCO1,ZINC95486217,zinc,ABBXAPSCXAEVAE-UHFFFAOYSA-N,1,1.0,1.0,40.0,58.0,518.53,-2.0,0.0,4.0,0.7,10.0,6.0,1.0,20.0,C/N/O,ABBXAPSCXAEVAE-UHFFFAOYSA-N,1.0,1.0,1
m023_d01,Brc1[nH]nc2ncnc(N3CC[C@H]4C[C@H]3CO4)c12,ZINCik00000BlHBC,zinc-leads,JFHLZEVPNOSMBL-BQBZGAKWSA-N,1,1.0,1.0,18.0,30.0,310.16,0.0,1.0,5.0,0.5,4.0,6.0,1.0,18.0,Br/C/N/O,JFHLZEVPNOSMBL-BQBZGAKWSA-N,1.0,1.0,1
m024_d01,Brc1ccc2c(c1)CN(c1cc(I)ncn1)CCC2,ZINCjH00000aD3H4,zinc-leads,VJWBFSNFBVVOIP-UHFFFAOYSA-N,1,1.0,1.0,19.0,32.0,430.09,0.0,0.0,3.0,0.632,3.0,7.0,1.0,19.0,Br/C/I/N,VJWBFSNFBVVOIP-UHFFFAOYSA-N,1.0,1.0,1
m025_d02,Brc1c(c(cc2c1CC[C@H](C)N2C=S)Br)F,-47.74472336,cod,HRJAGBWLKOKNPD-LURJTMIESA-N,1,2.0,1.0,16.0,26.0,367.08,0.0,0.0,1.0,0.375,2.0,6.0,1.0,16.0,Br/C/F/N/S,HRJAGBWLKOKNPD-LURJTMIESA-N,1.0,2.0,2
m026_d02,O=c1c2ccccc2c2c(c3c(n2Cc2ccccc2)CCCC3=O)o1,-70.94245196,cod,YNLRDDPGVQYYNN-UHFFFAOYSA-N,1,2.0,2.0,26.0,43.0,343.38,0.0,0.0,3.0,0.731,5.0,6.0,1.0,24.0,C/N/O,YNLRDDPGVQYYNN-UHFFFAOYSA-N,1.0,2.0,2
m027_d02,S1(=O)(=O)O[C@@H](C2CCCCC2)C[C@H](N1)C=C,Compound 219532,cod,ULRFHOMDJOKCEA-GHMZBOCLSA-N,1,2.0,2.0,16.0,35.0,245.34,0.0,1.0,3.0,0.0,2.0,6.0,1.0,13.0,C/N/O/S,ULRFHOMDJOKCEA-GHMZBOCLSA-N,1.0,2.0,2
m028_d02,Clc1cc(Nc2ncccc2)ccc1,Compound_64505,cod-50,RULIFSIKXUKYAJ-UHFFFAOYSA-N,1,2.0,2.0,14.0,23.0,204.66,0.0,1.0,2.0,0.857,2.0,6.0,1.0,14.0,C/Cl/N,RULIFSIKXUKYAJ-UHFFFAOYSA-N,2.0,2.0,2
m029_d02,Clc1ccc(cc1)c1nc2[n+](c(c1)c1ccccc1)c1c([n-]2)cccc1,Compound_93187,cod-50,VZULASXIAFGEKH-UHFFFAOYSA-N,1,2.0,2.0,26.0,40.0,355.83,0.0,0.0,1.0,0.962,5.0,6.0,1.0,22.0,C/Cl/N,VZULASXIAFGEKH-UHFFFAOYSA-N,3.0,2.0,2
m030_d02,c12c3c4c(c(c1cccc2c1c(c3ccc4)cccc1)c1ccccc1)c1ccccc1,Compound_98545,cod-50,QCZSWZDMXPDITR-UHFFFAOYSA-N,1,2.0,2.0,32.0,52.0,404.51,0.0,0.0,0.0,1.0,7.0,6.0,1.0,14.0,C,QCZSWZDMXPDITR-UHFFFAOYSA-N,2.0,2.0,2
m031_d02,Clc1ccc(cc1)N[C@@H]1[C@@H]2CCCN2c2c(-n3c1ccc3)c(Cl)ncn2,4025854.cif,cod-59k,WOVHDXPGAALEHE-HOTGVXAUSA-N,1,2.0,2.0,26.0,43.0,386.29,0.0,1.0,4.0,0.654,5.0,7.0,1.0,24.0,C/Cl/N,WOVHDXPGAALEHE-HOTGVXAUSA-N,2.0,2.0,2
m032_d02,O=C1[C@@H]2[C@@H]3[C@@H]4[C@@]51[C@@H](C1OCCO1)[C@@H]1C[C@H]([C@@]65C5([C@H]2[C@H](C3)[C@H]46)OCCO5)C=C1c1ccccc1,4026085.cif,cod-59k,QOEZBKUKTMQTLV-JWNVSPPGSA-N,1,2.0,2.0,33.0,61.0,444.53,0.0,0.0,5.0,0.182,10.0,6.0,1.0,27.0,C/O,QOEZBKUKTMQTLV-JWNVSPPGSA-N,2.0,2.0,2
m033_d02,N#Cc1ccc(cc1)C1=Cc2c([P@@]1(=O)c1ccccc1)cccc2,4030977.cif,cod-59k,QBPDDNBSYPAGJO-DEOSSOPVSA-N,1,2.0,2.0,24.0,38.0,327.32,0.0,0.0,2.0,0.75,4.0,6.0,1.0,20.0,C/N/O/P,QBPDDNBSYPAGJO-DEOSSOPVSA-N,2.0,2.0,2
m034_d02,c1cc(oc1)/C=C/C=C2C(=O)NC(=O)NC2=O,"5LL 5-[(e)-3-(furan-2-yl)prop-2-enylidene]-1,3-diazinane-2,4,6-trione",ligand-expo,PRGJOMANJQAXIH-HNQUOIGGSA-N,1,2.0,2.0,17.0,25.0,232.19,0.0,2.0,4.0,0.294,2.0,6.0,1.0,14.0,C/N/O,PRGJOMANJQAXIH-HNQUOIGGSA-N,1.0,2.0,2
m035_d02,CCC1CCNCC1,EPI 4-ethylpiperidine,ligand-expo,KWHPWBXOLZTZMJ-UHFFFAOYSA-N,1,2.0,1.0,8.0,23.0,113.2,0.0,1.0,1.0,0.0,1.0,6.0,1.0,6.0,C/N,KWHPWBXOLZTZMJ-UHFFFAOYSA-N,1.0,2.0,2
m036_d02,c1ncn(n1)C(=[NH2+])N,"TZC 1,2,4-triazole-carboxamidine",ligand-expo,CDIOIIJXUJXYPB-UHFFFAOYSA-O,1,2.0,0.0,8.0,14.0,112.12,1.0,2.0,2.0,0.625,1.0,5.0,1.0,8.0,C/N,CDIOIIJXUJXYPB-UHFFFAOYSA-O,1.0,2.0,2
m037_d02,O=C1C=C(CCC1)Nc1nnn[n-]1,GZ2_3G2Z_A,platinum-diverse,FJOHSIIEEONPQA-UHFFFAOYSA-M,1,2.0,2.0,13.0,21.0,178.18,-1.0,1.0,5.0,0.385,2.0,6.0,1.0,13.0,C/N/O,FJOHSIIEEONPQA-UHFFFAOYSA-M,1.0,2.0,2
m038_d02,c1(Br)ccc(C[NH+]2CCCC2)cc1,HXY_4URX_S,platinum-diverse,UKJIGXJYXLVARZ-UHFFFAOYSA-O,1,2.0,2.0,13.0,28.0,241.15,1.0,1.0,0.0,0.462,2.0,6.0,1.0,9.0,Br/C/N,UKJIGXJYXLVARZ-UHFFFAOYSA-O,1.0,2.0,2
m039_d02,O=C1c2ccccc2S(=O)(=O)N1CC(=O)[O-],S8A_5CLU_A,platinum-diverse,MQAZHTHFEBUHCD-UHFFFAOYSA-M,1,2.0,2.0,16.0,22.0,240.22,-1.0,0.0,5.0,0.375,2.0,6.0,1.0,15.0,C/N/O/S,MQAZHTHFEBUHCD-UHFFFAOYSA-M,2.0,2.0,2
m040_d02,O=C2c1ccccc1C(=O)c3c2c(O)ccc3O,"1,4-Dihydroxyanthraquinone",wiki,GUEIZVNYDFNHJU-UHFFFAOYSA-N,1,2.0,0.0,18.0,26.0,240.21,0.0,2.0,4.0,0.667,3.0,6.0,1.0,9.0,C/O,GUEIZVNYDFNHJU-UHFFFAOYSA-N,1.0,2.0,2
m041_d02,Cl[C@H]2\C=C/[C@H]5[C@@H]4N(CC[C@@]51c3c(O[C@H]12)c(O)ccc3C4)C,Chloromorphide,wiki,URUOTSLJEBANHA-ZFDIKFDDSA-N,1,2.0,0.0,21.0,39.0,303.79,0.0,1.0,3.0,0.286,5.0,6.0,1.0,21.0,C/Cl/N/O,URUOTSLJEBANHA-ZFDIKFDDSA-N,1.0,2.0,2
m042_d02,O=C1NC(C(OC1)c2ccccc2)C,Fenmetramide,wiki,UJEPHPADGSWWRM-UHFFFAOYSA-N,1,2.0,1.0,14.0,27.0,191.23,0.0,1.0,2.0,0.429,2.0,6.0,1.0,12.0,C/N/O,UJEPHPADGSWWRM-UHFFFAOYSA-N,1.0,2.0,2
m043_d02,c1ccc2c(c1)C=C[C@H]1N2[C@@H]([C@@H]2[C@@H]1C(=O)[C@H]1OC[C@@H]2O1)C(=O)[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2,ZINC08740373,zinc,XXTVWAHGGFLWMY-PMFVAXCSSA-N,1,2.0,2.0,32.0,61.0,431.53,0.0,0.0,5.0,0.188,9.0,6.0,1.0,26.0,C/N/O,XXTVWAHGGFLWMY-PMFVAXCSSA-N,1.0,2.0,2
m044_d02,Cc1ccc2c(c1)[C@@]1([C@H]3[C@@H]([C@H]4[N@@]1CCC4)C(=O)N(C3=O)c1ccc3c(c1)OCO3)C(=O)N2,ZINC15955113,zinc,GYKFICCLCYUNRY-MDTICMOCSA-N,1,2.0,1.0,32.0,53.0,431.45,0.0,1.0,6.0,0.375,7.0,6.0,1.0,32.0,C/N/O,GYKFICCLCYUNRY-MDTICMOCSA-N,1.0,2.0,2
m045_d02,c1ccc2c(c1)[C@@]1([C@@H]([C@@H]3CCC[N@@]3[C@]31c1cccc(c1NC3=O)Cl)C(=O)c1ccco1)C(=O)N2,ZINC61997761,zinc,WNEWQLYQUFVZMJ-TYTZFVCUSA-N,1,2.0,2.0,34.0,54.0,473.92,0.0,2.0,5.0,0.5,7.0,6.0,1.0,34.0,C/Cl/N/O,WNEWQLYQUFVZMJ-TYTZFVCUSA-N,1.0,2.0,2
m046_d02,C1CC2(C1)CN(C[C@H]1CNCCO1)[C@@H]1COC[C@@H]12,ZINCia00000BlHBH,zinc-leads,FYSOOYKWOZKBSD-FRRDWIJNSA-N,1,2.0,2.0,18.0,42.0,252.36,0.0,1.0,4.0,0.0,4.0,6.0,1.0,17.0,C/N/O,FYSOOYKWOZKBSD-FRRDWIJNSA-N,1.0,2.0,2
m047_d02,C1CC2(C1)NCC[C@@H]2N[C@@H]1CCC2(C1)OCCO2,ZINCih00000BlHBK,zinc-leads,LUIAAKHSMKHVMO-NEPJUHHUSA-N,1,2.0,2.0,18.0,42.0,252.36,0.0,2.0,4.0,0.0,4.0,5.0,1.0,15.0,C/N/O,LUIAAKHSMKHVMO-NEPJUHHUSA-N,1.0,2.0,2
m048_d02,BrC1(Br)C[C@@H]1c1nc([C@@H]2CCCNC2)no1,ZINCgv000001gP0S,zinc_random,ZNFVRZFWRBAJPA-RNFRBKRXSA-N,1,2.0,2.0,16.0,29.0,351.04,0.0,1.0,4.0,0.312,3.0,6.0,1.0,15.0,Br/C/N/O,ZNFVRZFWRBAJPA-RNFRBKRXSA-N,1.0,2.0,2
m049_d02,C1=CCC(N[C@@H]2CCCCC23CCCCC3)C1,ZINChL00000ayUfR,zinc_random,ANZGDYDJNCDLGV-OAHLLOKOSA-N,1,2.0,2.0,17.0,44.0,233.4,0.0,1.0,1.0,0.0,3.0,6.0,1.0,13.0,C/N,ANZGDYDJNCDLGV-OAHLLOKOSA-N,1.0,2.0,2
m050_d03,Oc1c(cccc1O)[C@@H]1Nc2c(-c3n1c1c(cccc1)n3)cccc2,-67.43055611,cod,WXWNTQODDNIGHZ-HXUWFJFHSA-N,1,3.0,1.0,25.0,40.0,329.36,0.0,3.0,4.0,0.84,5.0,6.0,1.0,25.0,C/N/O,WXWNTQODDNIGHZ-HXUWFJFHSA-N,1.0,3.0,3
m051_d03,S1SSc2[c-](SS1)c1[n+](c2OCC)c2c(nc1)cccc2,Compound 220337,cod,RBSHDTMQCLPIKO-UHFFFAOYSA-N,1,3.0,2.0,21.0,31.0,370.57,0.0,0.0,7.0,0.619,4.0,7.0,1.0,21.0,C/N/O/S,RBSHDTMQCLPIKO-UHFFFAOYSA-N,1.0,3.0,3
m052_d03,O=C(OC)c1ccc(cc1)C#N,Compound 83249,cod,KKZMIDYKRKGJHG-UHFFFAOYSA-N,1,3.0,1.0,12.0,19.0,161.16,0.0,0.0,3.0,0.5,1.0,6.0,1.0,10.0,C/N/O,KKZMIDYKRKGJHG-UHFFFAOYSA-N,1.0,3.0,3
m053_d03,O=C1N2[C@@](C(=C1c1ccccc1)c1ccccc1)(O)c1c(CC2)cccc1,Compound_21693,cod-50,XXFCGIBMHUHABQ-XMMPIXPASA-N,1,3.0,2.0,27.0,46.0,353.42,0.0,1.0,2.0,0.667,5.0,6.0,1.0,23.0,C/N/O,XXFCGIBMHUHABQ-XMMPIXPASA-N,1.0,3.0,3
m054_d03,Brc1cc(ccc1)/C=N/Nc1nc2c(nc1)cccc2,Compound_39035,cod-50,FKRGTMKLMURBSJ-GIJQJNRQSA-N,1,3.0,3.0,20.0,31.0,327.19,0.0,1.0,4.0,0.8,3.0,6.0,1.0,20.0,Br/C/N,FKRGTMKLMURBSJ-GIJQJNRQSA-N,3.0,3.0,3
m055_d03,O[C@@H]1CCCC[C@H]1N1OC[C@H]2[C@@H]1[C@H](C)OC2,1100442.cif,cod-59k,VDBIXVDKSKZFQX-HGCLJGPKSA-N,1,3.0,1.0,16.0,37.0,227.3,0.0,1.0,4.0,0.0,3.0,6.0,1.0,16.0,C/N/O,VDBIXVDKSKZFQX-HGCLJGPKSA-N,2.0,3.0,3
m056_d03,COc1ccc(cc1)c1cn2c(n1)sc1c2ccc(c1)F,2232560.cif,cod-59k,DXFMDFGTQSOIHV-UHFFFAOYSA-N,1,3.0,2.0,21.0,32.0,298.34,0.0,0.0,3.0,0.857,4.0,6.0,1.0,19.0,C/F/N/O/S,DXFMDFGTQSOIHV-UHFFFAOYSA-N,2.0,3.0,3
m057_d03,Clc1c2OP3(Oc2c(c(c1Cl)Cl)Cl)(c1ccccc1)C(=C3c1ccccc1)c1ccccc1,4021813.cif,cod-59k,HQDZFHABWZXWPL-UHFFFAOYSA-N,1,3.0,3.0,33.0,48.0,532.19,0.0,0.0,2.0,0.727,6.0,6.0,1.0,16.0,C/Cl/O/P,HQDZFHABWZXWPL-UHFFFAOYSA-N,2.0,3.0,3
m058_d03,C/C=C\CO,9A4 (2z)-but-2-en-1-ol,ligand-expo,WCASXYBKJHWFMY-IHWYPQMZSA-N,1,3.0,1.0,5.0,13.0,72.11,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,C/O,WCASXYBKJHWFMY-IHWYPQMZSA-N,1.0,3.0,3
m059_d03,c1ccc2c(c1)/C(=C\c3ccc4c(c3C(=O)O)OCO4)/C(=O)N2,"RVN 5-[(e)-(2-oxidanylidene-1h-indol-3-ylidene)methyl]-1,3-benzodioxole-4-carboxylic acid",ligand-expo,GQWXHPXXCYSHJK-YRNVUSSQSA-N,1,3.0,2.0,23.0,34.0,309.28,0.0,2.0,4.0,0.522,4.0,6.0,1.0,23.0,C/N/O,GQWXHPXXCYSHJK-YRNVUSSQSA-N,1.0,3.0,3
m060_d03,Cc1c(sc[n+]1C)C,"TMZ 3,4,5-trimethyl-1,3-thiazole",ligand-expo,LTPCOIDSGQEHKC-UHFFFAOYSA-N,1,3.0,0.0,8.0,18.0,128.22,1.0,0.0,1.0,0.625,1.0,5.0,1.0,8.0,C/N/S,LTPCOIDSGQEHKC-UHFFFAOYSA-N,1.0,3.0,3
m061_d03,c1cc(C(=O)[O-])ccc1c1c(c(=O)c2c(o1)c(Br)cc(Br)c2)O,3G5_4UB7_A,platinum-diverse,GDOSILZXICLCEI-UHFFFAOYSA-M,1,3.0,2.0,23.0,30.0,439.03,-1.0,1.0,5.0,0.696,3.0,6.0,1.0,21.0,Br/C/O,GDOSILZXICLCEI-UHFFFAOYSA-M,1.0,3.0,3
m062_d03,c1cc(C(=O)N)ccc1n1ccnc1,3VS_4WYC_A,platinum-diverse,VEKNMVRNEBNHNU-UHFFFAOYSA-N,1,3.0,2.0,14.0,23.0,187.2,0.0,1.0,2.0,0.786,2.0,6.0,1.0,12.0,C/N/O,VEKNMVRNEBNHNU-UHFFFAOYSA-N,2.0,3.0,3
m063_d03,n1[nH]c2c(c1C(=O)NN)cccc2,Z19_3R8M_A,platinum-diverse,JOUPSJAGJHYWLM-UHFFFAOYSA-N,1,3.0,1.0,13.0,21.0,176.18,0.0,3.0,3.0,0.692,2.0,6.0,1.0,13.0,C/N/O,JOUPSJAGJHYWLM-UHFFFAOYSA-N,2.0,3.0,3
m064_d03,Clc3nccc(C#Cc2nc(n(c1ccc(F)cc1)c2C)C)c3,Basimglurant,wiki,UPZWINBEAHDTLA-UHFFFAOYSA-N,1,3.0,1.0,23.0,36.0,325.77,0.0,0.0,2.0,0.739,3.0,6.0,1.0,21.0,C/Cl/F/N,UPZWINBEAHDTLA-UHFFFAOYSA-N,1.0,3.0,3
m065_d03,O=C1/C=C(/C)C[C@@H]2[C@@]14[C@H]([C@@H](O)C2)[C@@H]3[C@@H](CN(C)CC3)C4,Magellanine,wiki,ADRPSBGLUHNVOU-INSRFAMQSA-N,1,3.0,0.0,20.0,45.0,275.39,0.0,1.0,3.0,0.0,4.0,6.0,1.0,20.0,C/N/O,ADRPSBGLUHNVOU-INSRFAMQSA-N,1.0,3.0,3
m066_d03,C[C@@]1(C[C@@]23CC[C@H]4[C@]5([C@@H]2CC[C@@H]1C3)CCCC4(COC5=O)C)O,Neotripterifordin,wiki,WAZWEQYFSTXTHA-KDUBGUPVSA-N,1,3.0,0.0,23.0,53.0,318.46,0.0,1.0,3.0,0.0,5.0,6.0,1.0,23.0,C/O,WAZWEQYFSTXTHA-KDUBGUPVSA-N,1.0,3.0,3
m067_d03,c1ccc(cc1)Oc1ccc(cc1)N1Cc2c(ccc3c2oc(=O)c2c3CCC2)OC1,ZINC02115584,zinc,YSSATQPSUYWKHQ-UHFFFAOYSA-N,1,3.0,3.0,31.0,52.0,411.46,0.0,0.0,5.0,0.71,6.0,6.0,1.0,27.0,C/N/O,YSSATQPSUYWKHQ-UHFFFAOYSA-N,1.0,3.0,3
m068_d03,c1ccc(cc1)C[C@@H]1[C@@H]2[C@@H](C(=O)N(C2=O)C2CCCCCC2)[C@@]2(N1)c1ccccc1NC2=O,ZINC20611459,zinc,RYAXDTKARVYBRK-LAWREARLSA-N,1,3.0,3.0,33.0,62.0,443.55,0.0,2.0,4.0,0.364,6.0,7.0,1.0,28.0,C/N/O,RYAXDTKARVYBRK-LAWREARLSA-N,1.0,3.0,3
m069_d03,COc1cc(cc2c1OCCO2)[C@@H]1CC(=O)Oc2c1c1c(c3c2cccc3)nc2ccccc2n1,ZINC98365464,zinc,LRDKRNLCDPQWLR-SFHVURJKSA-N,1,3.0,2.0,35.0,55.0,464.48,0.0,0.0,7.0,0.686,7.0,6.0,1.0,35.0,C/N/O,LRDKRNLCDPQWLR-SFHVURJKSA-N,1.0,3.0,3
m070_d03,C1CC2(CCN1)CC[C@H](CN1CCOC[C@@H](C3CC3)C1)O2,ZINClm00000BlHBO,zinc-leads,AGROOGWRNLBUPL-JKSUJKDBSA-N,1,3.0,3.0,21.0,51.0,294.44,0.0,1.0,4.0,0.0,4.0,7.0,1.0,18.0,C/N/O,AGROOGWRNLBUPL-JKSUJKDBSA-N,1.0,3.0,3
m071_d03,N#Cc1c(NC(=O)c2ccc3cnnn3c2)ncc2c1CCCCC2,ZINCpv000000aPVV,zinc-leads,MQZNDULVYSMIMI-UHFFFAOYSA-N,1,3.0,2.0,25.0,41.0,332.37,0.0,1.0,5.0,0.6,4.0,7.0,1.0,25.0,C/N/O,MQZNDULVYSMIMI-UHFFFAOYSA-N,1.0,3.0,3
